Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: VLADIMIR BILEK, Predlagatelj: , SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU ;Kandidat: mr.sc. ZDENKA ÈUHNIL, Predlagatelj: , ÈEŠKA BESEDA KONÈANICA , MATICA SLOVAÈKA JOSIPOVAC , ÈEŠKA BESEDA SISAK  ;Kandidat: dr.sc. IVAN DANJEK, dipl.ing. agr., Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: IVAN KOMAK, Predlagatelj: SAVEZ SLOVAKA - ZVAZ SLOVAKOV - SSL-ZSL;Kandidat: JAROSLAV VOJTA, mag.prava, Predlagatelj: NEOVISNI KANDIDAT 
XII. IZBORNA JEDINICA;6;POKUPSKO;13;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;POPOVAÈA;19;6;3;3;3;0;1;2;0;0;0
XII. IZBORNA JEDINICA;6;RUGVICA;14;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;SUNJA;22;4;2;2;2;0;2;0;0;0;0
XII. IZBORNA JEDINICA;6;TOPUSKO;8;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;VELIKA LUDINA;12;8;1;1;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;7;BAKAR;8;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;ÈABAR;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;DELNICE;7;1;1;1;1;0;0;0;0;1;0
XII. IZBORNA JEDINICA;7;DUGA RESA;25;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;JASTREBARSKO;49;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KARLOVAC;92;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KASTAV;7;4;1;1;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;7;NOVI VINODOLSKI;12;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;OGULIN;22;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;OZALJ;27;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SAMOBOR;80;9;5;5;5;0;3;1;0;1;0
XII. IZBORNA JEDINICA;7;SLUNJ;12;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SVETA NEDELJA;17;3;3;3;3;0;2;1;0;0;0
XII. IZBORNA JEDINICA;7;VRBOVSKO;12;3;1;1;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;7;ZAGREB-JUŽNI DIO;116;82;27;27;27;0;9;11;2;1;4
XII. IZBORNA JEDINICA;7;BARILOVIÆ;12;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;BOSILJEVO;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;BROD MORAVICE;1;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;CETINGRAD;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;ÈAVLE;7;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;DRAGANIÆ;4;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;FUŽINE;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;GENERALSKI STOL;8;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;JELENJE;9;1;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;7;JOSIPDOL;11;3;1;1;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;7;KAMANJE;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KLANA;6;0;0;0;0;0;0;0;0;0;0
