Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FURIO RADIN
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOÈEVAC;DOM U KLOKOÈEVCU;KLOKOÈEVAC 86;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIÈANI;"PROSTORIJE MO ""LETIÈANI""";LETIÈANI 68A;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;0;0;0;0;0;0
